"Select a reward","Select a reward"
"Apply","Apply"
"Product Redemption","Product Redemption"
"The redeemed %1 is canceled successfully.","The redeemed %1 is canceled successfully."
"Product that you are trying to add is not available.","Product that you are trying to add is not available."
"You have redeemed %1 successfully.","You have redeemed %1 successfully."
"This reward rule can not be redeemed, try with another reward rule","This reward rule can not be redeemed, try with another reward rule"
"Something went wrong, check and try again","Something went wrong, check and try again"
"Attribute created successfully.","Attribute created successfully."
"Could not save","Could not save"
"Requested payload is not valid, please check and retry.","Requested payload is not valid, please check and retry."
"Attribute value updated successfully.","Attribute value updated successfully."
"Attribute value can not be updated.","Attribute value can not be updated."
"An invalid request data passed. Kindly check auth header data and try again.","An invalid request data passed. Kindly check auth header data and try again."
"Zinrelo LoyaltyRewards module is not enabled.","Zinrelo LoyaltyRewards module is not enabled."
"Enable module from: Stores → Configuration →Zinrelo Loyalty Rewards → Zinrelo Settings.","Enable module from: Stores → Configuration →Zinrelo Loyalty Rewards → Zinrelo Settings."
"Enable the loyalty rewards module","Enable the loyalty rewards module"
"Enable reward points text on product pages","Enable reward points text on product pages"
"Reward points text on product pages","Reward points text on product pages"
"Enable in-cart redemption","Enable in-cart redemption"
"In-cart redemption text","In-cart redemption text"
"Cart session timeout","Cart session timeout"
"Webhook URL","Webhook URL"
"Add API Key","Add API Key"
"Add Partner id","Add Partner id"
"Reward Events","Reward Events"
"Free Shipping Reward Label","Free Shipping Reward Label"
